,name,company,year,Price,kms_driven,fuel_type
0,Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2014,325000.0,28000.0,Petrol
1,EcoSport Titanium 1.5L TDCi,Ford,2014,575000.0,36000.0,Diesel
2,Figo,Ford,2012,175000.0,41000.0,Diesel
3,Eon,Hyundai,2013,190000.0,25000.0,Petrol
4,EcoSport Ambiente 1.5L TDCi,Ford,2016,830000.0,24530.0,Diesel
5,Suzuki Alto K10 VXi AMT,Maruti,2015,250000.0,60000.0,Petrol
6,Fabia Classic 1.2 MPI,Skoda,2010,182000.0,60000.0,Petrol
7,Suzuki Stingray VXi,Maruti,2015,315000.0,30000.0,Petrol
8,Elite i20 Magna 1.2,Hyundai,2014,415000.0,32000.0,Petrol
9,Scorpio SLE BS IV,Mahindra,2015,320000.0,48660.0,Diesel
10,A8,Audi,2017,1000000.0,4000.0,Petrol
11,Q7,Audi,2014,500000.0,16934.0,Diesel
12,Scorpio S10,Mahindra,2016,350000.0,43000.0,Diesel
13,Suzuki Alto 800,Maruti,2014,160000.0,35550.0,Petrol
14,Scorpio S10,Mahindra,2016,310000.0,39522.0,Diesel
15,Suzuki Alto 800 Lx,Maruti,2017,190000.0,72000.0,Petrol
16,Suzuki Vitara Brezza ZDi,Maruti,2016,290000.0,15975.0,Diesel
17,Bolero DI,Mahindra,2017,180000.0,23452.0,Diesel
18,Suzuki Swift Dzire ZDi,Maruti,2014,385000.0,35522.0,Diesel
19,Scorpio S10 4WD,Mahindra,2015,250000.0,48508.0,Diesel
20,Suzuki Swift Vdi BSIII,Maruti,2017,180000.0,15487.0,Petrol
21,Suzuki Wagon R VXi BS III,Maruti,2013,105000.0,39000.0,Petrol
22,Suzuki Wagon R VXi Minor,Maruti,2013,105000.0,39000.0,Petrol
23,Innova 2.0 G 8 STR BS IV,Toyota,2012,650000.0,82000.0,Diesel
24,Lodgy 85 PS RXL,Renault,2018,689999.0,20000.0,Diesel
25,Yeti Ambition 2.0 TDI CR 4x2,Skoda,2012,448000.0,68000.0,Diesel
26,Suzuki Baleno Delta 1.2,Maruti,2017,549000.0,32000.0,Diesel
27,Duster 110 PS RxZ Diesel Plus,Renault,2012,501000.0,38000.0,Diesel
28,Duster 85 PS RxE Diesel,Renault,2013,489999.0,27000.0,Diesel
29,City 1.5 S MT,Honda,2011,280000.0,33000.0,Petrol
30,Suzuki Dzire,Maruti,2013,349999.0,46000.0,Diesel
31,Amaze,Honda,2013,284999.0,46000.0,Diesel
32,Amaze 1.5 SX i DTEC,Honda,2015,345000.0,36000.0,Diesel
33,City,Honda,2015,499999.0,55000.0,Petrol
34,Redi GO S,Datsun,2017,235000.0,16000.0,Petrol
35,Suzuki SX4 ZXI MT,Maruti,2010,249999.0,36000.0,Petrol
36,Pajero Sport Limited Edition,Mitsubishi,2015,1475000.0,47000.0,Diesel
37,Scorpio S10,Mahindra,2015,395000.0,35000.0,Diesel
38,Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2017,220000.0,30874.0,Petrol
39,City ZX CVT,Honda,2017,170000.0,15000.0,Diesel
40,Indigo eCS LS CR4 BS IV,Tata,2017,200000.0,130000.0,Diesel
41,Scorpio SLE BS IV,Mahindra,2012,570000.0,19000.0,Diesel
42,Polo Highline Exquisite P,Volkswagen,2014,315000.0,60000.0,Petrol
43,Spark LS 1.0,Chevrolet,2010,110000.0,41000.0,Petrol
44,Duster 110PS Diesel RxZ,Renault,2012,501000.0,35000.0,Diesel
45,City,Honda,2015,448999.0,54000.0,Petrol
46,Cooper S 1.6,Mini,2013,1891111.0,13000.0,Petrol
47,Fabia 1.2L Diesel Ambiente,Skoda,2011,159500.0,38200.0,Diesel
48,Amaze,Honda,2015,344999.0,22000.0,Petrol
49,Duster,Renault,2014,449999.0,50000.0,Diesel
50,Cooper S 1.6,Mini,2013,1891111.0,13500.0,Petrol
51,Scorpio S4,Mahindra,2015,865000.0,30000.0,Diesel
52,Scorpio VLX 2WD BS IV,Mahindra,2014,699000.0,50000.0,Diesel
53,Quanto C8,Mahindra,2013,375000.0,20000.0,Diesel
54,EcoSport,Ford,2017,489999.0,39000.0,Petrol
55,Brio,Honda,2012,224999.0,30000.0,Petrol
56,Vento Highline Plus 1.5 Diesel AT,Volkswagen,2019,1200000.0,3600.0,Diesel
